entity_id,disease_name_sanskrit,disease_name_english,synonyms,tkdl_original_text,verification_status,source_id
TKDL-E0429,gulma,,Vayitru Kazhalaigal,gulma,verified,TKDL-001
TKDL-E0430,khālitya,,"Daa-al-Salab, Puzhuvettu",kh¢litya,encoding_mapped,TKDL-001
TKDL-E0431,āma,,"Seetham,Aamam",¢ma,encoding_mapped,TKDL-001
TKDL-E0432,Pilla,,Soolnluidu Pillam,Pilla,verified,TKDL-001
TKDL-E0433,Gudaroga,,"Amraaz-e-tanasuliyah, Asana Kudal Nolcial",Gudaroga,verified,TKDL-001
TKDL-E0434,arocaka,,"Nuqsaan -ul- Shahvath / Zof-e-Ishteha, Rusi inmai",arocaka,verified,TKDL-001
TKDL-E0435,indralupta,,"Sala, Vazhukkai",indralupta,verified,TKDL-001
TKDL-E0436,raktātisāra,,"Rattha Kazhichal ,Kuruthi kazhichal",rakt¢tis¢ra,encoding_mapped,TKDL-001
TKDL-E0437,vātajaṇūla,,"Dard-e-Badan, Udal Vali",v¢tajaº¦la,encoding_mapped,TKDL-001
TKDL-E0438,p¤åikā,,"Phunsi, Koppula Perunoi",p¤åik¢,encoding_mapped,TKDL-001
TKDL-E0439,rakasa,,Koppula Perunoi,rakasa,verified,TKDL-001
TKDL-E0440,tamaka ṇvāsa,,"Zeeq-al-Nafas Shubi/Zeeq-al-Nafas/ Rabw, Eraippu Erunal",tamaka ºv¢sa,encoding_mapped,TKDL-001
TKDL-E0441,ṇoṣa,,"Huzaal, Udal Ilaippu Noi",ºo¾a,encoding_mapped,TKDL-001
TKDL-E0442,Mutrasmari,,"Kalladaippu,Achamari",Mutrasmari,verified,TKDL-001
TKDL-E0443,hśda graha,,Iyya Thamaraganoi,h¨da graha,encoding_mapped,TKDL-001
TKDL-E0444,timira,,"Thimiram, Pithakkaasam, Kan poo",timira,verified,TKDL-001
TKDL-E0445,gaī²aroga,,Kadhuppu Veekkam,ga´²aroga,encoding_mapped,TKDL-001
TKDL-E0446,vepathu,,"Larzah-wa-Qasha'reerah, Kulir/Nalir",vepathu,verified,TKDL-001
TKDL-E0447,sannipāta,,Mukkutra Noigal/Theevira Noikal,sannip¢ta,encoding_mapped,TKDL-001
TKDL-E0448,upadrava,,Shikkalaana,upadrava,verified,TKDL-001
TKDL-E0449,khall¤,,Moottu isivu,khall¤,unmapped_high_bytes_present,TKDL-001
TKDL-E0450,sādhya,,Theerum Noigal,s¢dhya,encoding_mapped,TKDL-001
TKDL-E0451,kścchrasādhya,,Arithil Theerum noigal,k¨cchras¢dhya,encoding_mapped,TKDL-001
TKDL-E0452,uṣīavāta,,"Waram-e-Masaanah/Waram-e-Majra-e-Baul, Neer pai/Moothira naala thaabitham",u¾´av¢ta,encoding_mapped,TKDL-001
TKDL-E0453,dāruīaka,,"ibriyah/Abriyyah/bafa, Podugu",d¢ru´aka,encoding_mapped,TKDL-001
TKDL-E0454,pralāpa,,Pithatral,pral¢pa,encoding_mapped,TKDL-001
TKDL-E0455,prameha piåikā,,Meisa Koppulam/Raaja pilavai,prameha piåik¢,encoding_mapped,TKDL-001
TKDL-E0456,jvarātisāra,,Adhisaara suram,jvar¢tis¢ra,encoding_mapped,TKDL-001
TKDL-E0457,srāva,,"Tarashshuh, Kasivu/Ozhugal",sr¢va,encoding_mapped,TKDL-001
TKDL-E0458,Vrana srava,,Pun Kasivu,Vrana srava,verified,TKDL-001
TKDL-E0459,roga/ vyādhi,,"Noi,Viyaadhi,Pini",roga/ vy¢dhi,encoding_mapped,TKDL-001
